wave_length         LAB                 PPO                 bis                 
453                 0.273942            0.714813            0.0112441           
453.5               0.262139            0.727006            0.0108547           
454                 0.25131             0.7382              0.0104892           
454.5               0.251312            0.738205            0.0104832           
455                 0.246227            0.743467            0.010306            
455.5               0.256615            0.732737            0.0106478           
456                 0.273951            0.714843            0.0112057           
456.5               0.280263            0.708337            0.0113995           
457                 0.286873            0.701527            0.0115997           
457.5               0.293802            0.694391            0.0118066           
458                 0.301075            0.686905            0.0120203           
458.5               0.308716            0.679043            0.0122412           
459                 0.301078            0.686915            0.0120067           
459.5               0.286881            0.701552            0.0115668           
460                 0.286883            0.701557            0.0115603           
460.5               0.301083            0.68693             0.0119863           
461                 0.293814            0.694426            0.0117598           
461.5               0.280278            0.708387            0.011335            
462                 0.301088            0.686946            0.0119659           
462.5               0.325236            0.662101            0.0126622           
463                 0.334171            0.652924            0.0129052           
463.5               0.334173            0.652929            0.0128979           
464                 0.334176            0.652934            0.0128906           
464.5               0.316776            0.670832            0.0123921           
465                 0.325246            0.662127            0.0126265           
465.5               0.325248            0.662132            0.0126194           
466                 0.316782            0.670847            0.0123711           
466.5               0.353611            0.633011            0.0133777           
467                 0.375436            0.610636            0.0139276           
467.5               0.387393            0.598396            0.0142115           
468                 0.387395            0.598401            0.0142035           
468.5               0.375444            0.610651            0.0139042           
469                 0.400141            0.585371            0.0144873           
469.5               0.400144            0.585376            0.0144792           
470                 0.353628            0.633047            0.0133252           
470.5               0.334203            0.653               0.0127967           
471                 0.334205            0.653006            0.0127896           
471.5               0.353635            0.633062            0.0133028           
472                 0.413767            0.571487            0.0147458           
472.5               0.41377             0.571492            0.0147375           
473                 0.375468            0.610698            0.0138343           
473.5               0.387426            0.598457            0.0141163           
474                 0.387429            0.598462            0.0141084           
474.5               0.413783            0.571512            0.0147046           
475                 0.413786            0.571517            0.0146964           
475.5               0.428357            0.556641            0.0150019           
476                 0.42836             0.556646            0.0149935           
476.5               0.428363            0.556651            0.0149852           
477                 0.428367            0.556656            0.0149769           
477.5               0.413802            0.571542            0.0146556           
478                 0.400195            0.585463            0.0143424           
478.5               0.428377            0.556671            0.0149519           
479                 0.413812            0.571557            0.0146312           
479.5               0.460832            0.523588            0.0155797           
480                 0.498513            0.485256            0.0162314           
480.5               0.413821            0.571572            0.0146069           
481                 0.413824            0.571577            0.0145988           
481.5               0.428397            0.5567              0.0149023           
482                 0.428401            0.556705            0.014894            
482.5               0.460855            0.523617            0.015528            
483                 0.479001            0.505152            0.0158476           
483.5               0.498545            0.485287            0.0161687           
484                 0.479009            0.505161            0.0158301           
484.5               0.498554            0.485295            0.0161508           
485                 0.51845             0.465079            0.0164714           
485.5               0.479022            0.505174            0.0158039           
486                 0.479026            0.505179            0.0157952           
486.5               0.498572            0.485313            0.0161153           
487                 0.46089             0.523659            0.0154512           
487.5               0.479039            0.505192            0.0157691           
488                 0.498585            0.485326            0.0160887           
488.5               0.518484            0.465108            0.0164081           
489                 0.518489            0.465112            0.0163991           
489.5               0.538388            0.444894            0.016718            
490                 0.518498            0.465121            0.0163811           
490.5               0.498608            0.485348            0.0160446           
491                 0.518508            0.465129            0.0163632           
491.5               0.518513            0.465133            0.0163542           
492                 0.55831             0.42469             0.0169992           
492.5               0.558316            0.424694            0.0169899           
493                 0.538424            0.444922            0.016654            
493.5               0.578225            0.404478            0.0172978           
494                 0.558333            0.424705            0.0169621           
494.5               0.578236            0.404485            0.0172789           
495                 0.578242            0.404488            0.0172695           
495.5               0.558349            0.424717            0.0169343           
496                 0.538455            0.444945            0.0165996           
496.5               0.55836             0.424724            0.0169159           
497                 0.558366            0.424728            0.0169067           
497.5               0.558371            0.424731            0.0168975           
498                 0.558377            0.424735            0.0168883           
498.5               0.598184            0.384288            0.0175284           
499                 0.637993            0.343839            0.0181679           
499.5               0.638               0.343842            0.018158            
500                 0.598203            0.384298            0.0174999           
500.5               0.598209            0.384301            0.0174904           
501                 0.578312            0.404531            0.0171572           
501.5               0.598221            0.384308            0.0174715           
502                 0.578324            0.404538            0.0171386           
502.5               0.578329            0.404541            0.0171294           
503                 0.618143            0.36409             0.0177662           
503.5               0.657959            0.323639            0.0184024           
504                 0.677871            0.303414            0.0187152           
504.5               0.677878            0.303416            0.0187051           
505                 0.638075            0.343875            0.0180503           
505.5               0.638082            0.343878            0.0180406           
506                 0.618182            0.364109            0.0177088           
506.5               0.598282            0.384341            0.0173774           
507                 0.598288            0.384344            0.0173681           
507.5               0.618201            0.364118            0.0176802           
508                 0.658023            0.323664            0.0183134           
508.5               0.65803             0.323666            0.0183035           
509                 0.677945            0.30344             0.0186147           
509.5               0.677953            0.303442            0.0186047           
510                 0.658051            0.323675            0.0182741           
510.5               0.658058            0.323677            0.0182643           
511                 0.677975            0.30345             0.0185748           
511.5               0.658072            0.323683            0.0182447           
512                 0.638169            0.343916            0.017915            
512.5               0.638176            0.343919            0.0179054           
513                 0.678005            0.30346             0.0185351           
513.5               0.697923            0.283232            0.0188446           
514                 0.697931            0.283235            0.0188345           
514.5               0.678027            0.303468            0.0185054           
515                 0.658121            0.323702            0.0181766           
515.5               0.638216            0.343936            0.0178481           
516                 0.697962            0.283244            0.0187944           
516.5               0.737796            0.242783            0.0194212           
517                 0.737804            0.242785            0.0194109           
517.5               0.67807             0.303483            0.0184463           
518                 0.618334            0.364183            0.0174827           
518.5               0.61834             0.364186            0.0174734           
519                 0.658177            0.323724            0.0180993           
519.5               0.658184            0.323726            0.0180897           
520                 0.678107            0.303496            0.0183973           
